index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.cbsnews.com/news/some-national-guard-trump-los-angeles-wildfire-duty/,https://www.cbsnews.com/news/some-national-guard-trump-los-angeles-wildfire-duty/,0,www.cbsnews.com,Hundreds of National Guard forces deployed to L.A. by Trump could be sent to wildfire duty,A controversial federal National Guard deployment to Los Angeles could lose some troops to wildfire duty.,https://assets2.cbsnewsstatic.com/hub/i/r/2025/06/20/5ba0a623-56b0-4e2d-8739-62d1abc45ce1/thumbnail/1200x630/ca0df77148aa3b79cd970c9f9ef4681d/cbsn-fusion-analyzing-trumps-big-win-after-court-allows-keep-national-guard-la-thumbnail.jpg,2025-07-01T02:36:46Z,,A military commander has discussed shifting some California National Guard troops away from the Trump administration's weekslong deployment to deal with protests in Los Angeles so they can help fight… [+3411 chars],,en,'wildfire military'
https://www.newser.com/story/371176/military-to-hegseth-let-troops-leave-la-protests-to-fight-fires.html,https://www.newser.com/story/371176/military-to-hegseth-let-troops-leave-la-protests-to-fight-fires.html,0,www.newser.com,Military to Hegseth: Let Troops Leave LA Protests to Fight Fires,"The top military commander in charge of troops deployed to Los Angeles to respond to protests against immigration raids has asked Defense Secretary Pete Hegseth if 200 of those forces could be returned to wildfire fighting duty, two US officials told the AP o…",https://img1-azrcdn.newser.com/image/1619646-12-20250701074222.jpeg,2025-07-01T12:36:00Z,,"Copyright 2025 Newser, LLC. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed. AP contributed to this report.",,en,'wildfire military'
https://www.menshealth.com/health/a65065585/la-wildfires-incarcerated-firefighter-interview/,https://www.menshealth.com/health/a65065585/la-wildfires-incarcerated-firefighter-interview/,0,www.menshealth.com,The Fire of Freedom,"At 20 years old, Fausto Lopez was one of thousands of heroic firefighters who fought the Los Angeles wildfires—some of the most destructive in California history. But amid the black smoke and fierce winds, he also faced a bigger battle: for a second chance at…","https://hips.hearstapps.com/hmg-prod/images/hlh070125feafirefighter-004-685c40b46986c.jpg?crop=1.00xw:0.736xh;0,0.214xh&resize=1200:*",2025-07-01T13:00:00Z,,"A LINE OF 17 firefighters clambered up a smoky mountain as a Los Angeles neighborhood burned below them. In the span of 48 hours, the area had become a graveyard of cars left behind in flaming drivew… [+29813 chars]",,en,'wildfire wind'
https://www.cbc.ca/news/canada/british-columbia/fire-near-lytton-evacuation-alert-2025-july-1-1.7574835,https://www.cbc.ca/news/canada/british-columbia/fire-near-lytton-evacuation-alert-2025-july-1-1.7574835,0,www.cbc.ca,"Wildfire near Lytton, B.C., prompts evacuation order, local state of emergency","The Thompson-Nicola Regional District has declared a local state of emergency for the Blue Sky Country region due to an encroaching out-of-control wildfire near Lytton, B.C.",https://i.cbc.ca/1.7574852.1751392338!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_1180/nikaia-creek-wildfire.jpg?im=Resize%3D620,2025-07-01T19:03:59Z,,"The Thompson-Nicola Regional District has declared a local state of emergency for the Blue Sky Country region due to an encroaching out-of-control wildfire near Lytton, B.C.
It has also issued an ev… [+2306 chars]",,en,'wildfire evacuation'
https://www.insurancejournal.com/news/national/2025/07/01/829824.htm,https://www.insurancejournal.com/news/national/2025/07/01/829824.htm,0,www.insurancejournal.com,How Much Does a Heat Wave Cost? Insurers and CEOs Want to Know,"When a hurricane or a wildfire strikes, the economic damage is usually very visible — roofs are ripped off or charred homes line roads. Heat waves cause financial damage, too, but it’s more diffuse: Farm crops might wither, construction workers …",https://www.insurancejournal.com/app/uploads/2025/07/drought-heat-wave-crop-Bloomberg-scaled.jpg,2025-07-01T19:46:29Z,,"When a hurricane or a wildfire strikes, the economic damage is usually very visible roofs are ripped off or charred homes line roads. Heat waves cause financial damage, too, but it’s more diffuse: Fa… [+6093 chars]",,en,'wildfire hot'
https://www.irishtimes.com/environment/2025/07/02/europe-heatwave-latest-updates/,https://www.irishtimes.com/environment/2025/07/02/europe-heatwave-latest-updates/,0,www.irishtimes.com,Europe heatwave: Two die in wildfire in Spain’s Catalonia region,Italy limits outdoor work and France shuts schools as Europe grapples with severe heatwave,https://www.irishtimes.com/resizer/v2/533S3H27MKRTKD7PLI7ISE7N7U.jpg?smart=true&auth=3a845972b732ff892232c189b0955b665ebfcc7f46a1c9319734665ba365b96a&width=1200&height=630,2025-07-02T09:25:43Z,,"Two people died in a wildfire in SpainsCatalonia region a day ago, which was largely contained though more wind and thunder storms were expected on Wednesday, emergency services and officials said, a… [+2946 chars]",,en,'wildfire'
https://www.newsweek.com/california-ruling-could-force-change-home-insurance-rules-2093483,https://www.newsweek.com/california-ruling-could-force-change-home-insurance-rules-2093483,0,www.newsweek.com,California Ruling Could Force Change to Home Insurance Rules,Thousands of wildfire survivors whose smoke-related claims were denied by the FAIR Plan could now appeal to receive payments.,https://d.newsweek.com/en/full/2675387/california-wildfire-smoke-damage.jpg,2025-07-02T14:31:36Z,,A scathing court ruling that found California's fire insurer of last resort in violation of state law for denying policyholders coverage for wildfire-related smoke damage could have major implication… [+5404 chars],,en,'wildfire smoke'
https://www.pbs.org/newshour/world/european-heat-wave-fuels-deadly-spanish-wildfire-as-european-union-presents-plans-to-reduce-greenhouse-gas-emissions,https://www.pbs.org/newshour/world/european-heat-wave-fuels-deadly-spanish-wildfire-as-european-union-presents-plans-to-reduce-greenhouse-gas-emissions,0,www.pbs.org,European heat wave fuels deadly Spanish wildfire as European Union presents plans to reduce greenhouse gas emissions,Spanish authorities say two people have died in northeastern Spain in a wildfire that spread quickly before firefighters brought it under control.,https://d3i6fh83elv35t.cloudfront.net/static/2025/07/2025-07-02T143656Z_455092643_RC2DEFAWZM18_RTRMADP_3_EUROPE-WEATHER-SPAIN-WILDFIRE-1024x674.jpg,2025-07-02T16:47:36Z,,"BARCELONA, Spain (AP) Europe’s continuing heat wave on Wednesday helped fuel a deadly wildfire in Spain while the European Union presented plans to reduce greenhouse gas emissions under scorching tem… [+5579 chars]",,en,'wildfire house'
https://www.thestar.com.my/news/world/2025/07/03/heatwave-across-europe-leaves-8-dead-as-early-summer-temperatures-hit-records,https://www.thestar.com.my/news/world/2025/07/03/heatwave-across-europe-leaves-8-dead-as-early-summer-temperatures-hit-records,0,www.thestar.com.my,Heatwave across Europe leaves 8 dead as early summer temperatures hit records,"LONDON (Reuters) - Four people died in Spain, two in France and two in Italy as an early summer heatwave continued to grip much of Europe on Wednesday, triggering health alerts and forest fires and forcing the closure of a nuclear reactor at a Swiss power pla…",https://apicms.thestar.com.my/uploads/images/2025/07/03/3397484.jpg,2025-07-02T17:07:00Z,,"LONDON (Reuters) - Four people died in Spain, two in France and two in Italy as an early summer heatwave continued to grip much of Europe on Wednesday, triggering health alerts and forest fires and f… [+3997 chars]",,en,'forest fire'
https://japantoday.com/category/world/heatwave-across-europe-leaves-8-dead-as-early-summer-temperatures-hit-records1,https://japantoday.com/category/world/heatwave-across-europe-leaves-8-dead-as-early-summer-temperatures-hit-records1,0,japantoday.com,Heatwave across Europe leaves 8 dead,"Four people died in Spain, two in France and two in Italy as an early summer heatwave continued to grip much of Europe on Wednesday, triggering health alerts and forest fires and forcing the closure of a nuclear reactor at a Swiss power plant. Spanish officia…",,2025-07-02T21:28:41Z,,"Four people died in Spain, two in France and two in Italy as an early summer heatwave continued to grip much of Europe on Wednesday, triggering health alerts and forest fires and forcing the closure … [+3821 chars]",,en,'forest fire'
