domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.cbc.ca,0.04074901212408234,0.1817084437211928,0.3975990392778413,0.18663995473454031,603.0
www.insurancejournal.com,0.051348668037690615,0.1998497133604362,0.38363112046253595,0.21741348812458916,180.0
www.abc.net.au,0.026966875029560557,0.1562018214186143,0.3845109596495032,0.19503869394179352,175.0
abcnews.go.com,0.024113043962119732,0.1953189045696059,0.3763092582938711,0.22421416110378195,163.0
www.newsweek.com,0.0008148362266984701,0.16189213016474943,0.4308218450294981,0.18917005984527296,140.0
biztoc.com,-0.005929342374796928,0.21495429744844613,0.3904349075167257,0.200152067408841,130.0
www.forbes.com,0.07648497022875904,0.2017800107653619,0.4592819607641036,0.18770934434796854,115.0
www.bbc.com,0.02666257834481075,0.17322557068840186,0.41820848562715396,0.196418341866034,113.0
nypost.com,-0.014529336954393977,0.17869689361032146,0.4432391754125218,0.16116667163548506,93.0
www.cbsnews.com,0.0313128274786438,0.2320853015335481,0.4333119388170409,0.22799868108367907,91.0
economictimes.indiatimes.com,0.005808668155466932,0.14572100194516407,0.43012334218965315,0.149601371624665,82.0
www.yahoo.com,0.0236159436287028,0.21252098721967194,0.4039386294026303,0.24150716747955805,76.0
financialpost.com,0.04006779146485029,0.1821374054904705,0.3809061008141891,0.2273235531467188,74.0
www.nationalobserver.com,0.02754811838812189,0.18225065133466323,0.38034573941723804,0.1911432435245435,68.0
www.npr.org,0.0399022909097536,0.15889142865777633,0.4269199056885624,0.1541803117514294,67.0
www.thestar.com.my,0.07558877160630553,0.15187965485584487,0.38872522931233344,0.18829837548951486,65.0
www.nbcnews.com,-0.0011318938553481564,0.2525858557884562,0.41633867799862423,0.22120620325038629,62.0
www.aljazeera.com,0.00034857010779141537,0.16531275690126057,0.40279997969547154,0.18891006125410328,61.0
slashdot.org,0.07746761659540766,0.10618293058816322,0.4057431491731731,0.14622050163864866,57.0
www.bostonherald.com,0.043973709466633995,0.1762964774628622,0.4111832169402924,0.22164879210738722,53.0
www.globenewswire.com,0.13196850107564392,0.22444182832917142,0.40864929217607787,0.23817495379313963,52.0
www.denverpost.com,0.08996937158701863,0.13281167114670725,0.3816039951334069,0.17590022044310177,51.0
theconversation.com,0.07611257550158111,0.1969000070531142,0.47976222559730963,0.15693616229568003,51.0
www.ibtimes.com,-0.030687284909755152,0.2157141550745442,0.38749297467303423,0.23017009367317423,48.0
phys.org,0.08738628265498531,0.12018677959599018,0.3903540216359818,0.17009922680486111,48.0
consent.yahoo.com,-0.0758821497651285,0.14044630434637229,0.40946770132940347,0.13665867873897605,47.0
deadline.com,0.07745601749677461,0.20660357321756828,0.39781471539830204,0.24148503874491414,47.0
www.businessinsider.com,0.10257954138013663,0.14656839324024487,0.40496486031605083,0.18239709054276715,39.0
grist.org,0.0334443733875552,0.15723034821133092,0.47584819904422176,0.13975639927410766,36.0
www.foxnews.com,-0.013283966364323508,0.23586011462639656,0.4736044872494452,0.18064298388607614,34.0
freerepublic.com,0.0392827192118636,0.23245493495092429,0.4608694029715086,0.2239319926765349,34.0
www.pbs.org,0.013813312078734154,0.16245832112721942,0.39513350574389533,0.1594040404085776,33.0
japantoday.com,-0.0023285939030155776,0.15762238093786618,0.35082173058760924,0.16938178290369202,32.0
www.channelnewsasia.com,0.015221751889090598,0.18514263789935792,0.42277237428043885,0.19553608094539446,31.0
www.tmz.com,-0.04927079385028694,0.29562090662530033,0.4530526462784527,0.2545162745510464,31.0
time.com,-0.011915853941716013,0.1949165019241797,0.4051700295234778,0.18572254769564955,29.0
www.sciencedaily.com,0.07916805239828198,0.10613625703138185,0.4610539669372577,0.16098958356086698,28.0
www.digitaljournal.com,0.025169385178313745,0.18187405297868903,0.40785056775235345,0.1414481173188566,28.0
www.naturalnews.com,-0.03938038441386656,0.2245746856116259,0.4172955211124854,0.23442989424749153,28.0
www.breitbart.com,0.04782008800527319,0.3003330771837075,0.38272758448684374,0.23251828639578248,27.0
www.rte.ie,0.014665166509302306,0.1608184653016154,0.24106768003372941,0.20467278789346754,27.0
www.dw.com,0.055319830389760453,0.10440171662727217,0.4156477248631969,0.1639204460110422,26.0
gizmodo.com,0.11070058603013148,0.1900650592510886,0.4389697310265492,0.18785175516889416,26.0
finance.yahoo.com,0.08432424242424241,0.20500055468144382,0.304125974025974,0.18224737993589893,25.0
news.sky.com,0.030967652717652713,0.17716759035858176,0.442459595959596,0.19298335818528128,25.0
www.hurriyetdailynews.com,0.09912550833005378,0.21574855883412458,0.4309513970877607,0.2912833759176448,22.0
www.newser.com,0.01047823759133283,0.20565424412339467,0.36612095301083397,0.23991157966823298,21.0
www.thewrap.com,0.09073507180650038,0.16389664823624375,0.374153124212648,0.1618752346040513,21.0
www.japantimes.co.jp,0.001249871160585441,0.12905596909720946,0.3866974163402735,0.21133821567622954,21.0
www.irishtimes.com,0.08123933748430502,0.16215225949487228,0.4092474717021795,0.15914813632860708,20.0
www.kqed.org,0.06651815644672787,0.1383585393093018,0.4361587247078319,0.12896620529339134,20.0
www.kpbs.org,0.0938125450937951,0.18413645828374423,0.4253367754930255,0.205185085162536,20.0
www.usatoday.com,0.09749060245310245,0.14862968187715714,0.46695762987012984,0.1449431735446013,20.0
wattsupwiththat.com,0.015279234210421084,0.14838561488213425,0.44832921191696445,0.1038949839696305,18.0
www.thejournal.ie,0.022572998896528307,0.06830678282532689,0.3409794018617548,0.1629853306444798,17.0
www.vox.com,0.04499215925686514,0.14350441762868785,0.5021860438036908,0.15984910290478627,17.0
www.independent.ie,0.08231552745418291,0.13615904361128026,0.40696685527357795,0.1766406947376623,17.0
dailycaller.com,-0.06404362249950486,0.231504602694044,0.43606407209348386,0.2593073774070129,17.0
en.antaranews.com,0.019328703703703702,0.07914717108878891,0.2136574074074074,0.24028054305123964,16.0
www.cnet.com,0.12301408383984143,0.2782975033061261,0.45709004912035217,0.120805480660584,15.0
en.protothema.gr,0.001608638627686243,0.20949979720030293,0.4781945925326878,0.17370658006057285,15.0
www.huffpost.com,-0.04830820964749535,0.17394696889500183,0.4304238816738817,0.23302762097936913,14.0
www.nzherald.co.nz,-0.013738017934446506,0.2746656885730385,0.3751646567717996,0.21396302191782066,14.0
archinect.com,0.0628077973613688,0.18981397279876655,0.34266356163677597,0.15835250101202733,14.0
www.ndtv.com,-0.13920987081701366,0.23766467509807004,0.40434798666941524,0.26652009532582394,14.0
timesofindia.indiatimes.com,0.022574220651143728,0.17966130910921857,0.43789454135607986,0.21151986212696122,13.0
www.bangkokpost.com,0.02888151531008674,0.36647172066622846,0.44721857507571794,0.24599169803272217,13.0
www.jpost.com,-0.052071123321123326,0.25464637651137373,0.4296581196581197,0.2720769974458954,13.0
www.ibtimes.com.au,0.0021147486772486756,0.16157325954419685,0.3235019841269841,0.1606392607426692,12.0
consequence.net,-0.11835111317254175,0.33783232988268647,0.37634637188208614,0.2815525349575275,12.0
www.cnn.com,0.024041606541606544,0.15534195484426822,0.46301346801346804,0.21786654956270513,12.0
www.rollingstone.com,-0.00045995670995671497,0.19263928776118402,0.4342288961038961,0.1071195828346514,11.0
www.scientificamerican.com,0.06125213170667716,0.10842161002149767,0.37568050636232453,0.2304637209268328,11.0
www.voanews.com,-0.08071117014298833,0.20244255911121162,0.5047927325200052,0.23925659595899762,11.0
crooksandliars.com,0.03392676767676768,0.13639876311481183,0.3390223665223665,0.22094867655676673,11.0
www.space.com,0.048556629607765966,0.17084349773612462,0.5426371179325724,0.19228089541004662,10.0
www.seattlepi.com,0.020409316378066374,0.14809570586811918,0.3521345598845599,0.16083824843255873,10.0
www.marca.com,-0.02633477633477634,0.22195279297268736,0.46084752284752284,0.19366743208990905,10.0
reason.com,-0.02104545454545454,0.16992954462815707,0.509777417027417,0.1630379066672404,10.0
legalinsurrection.com,0.05366977859402102,0.15367607155110216,0.43271466468436165,0.14962825152477574,9.0
rollingout.com,-0.028267396184062862,0.20632155899529453,0.5800140291806959,0.24905266291247846,9.0
www.wired.com,0.12412197370530703,0.11999878471504415,0.43369729036395704,0.14397103609389048,9.0
www.today.com,-0.04214488155565596,0.17799117830935074,0.4174268620144041,0.1991936897566489,9.0
www.americanthinker.com,0.0695983109152752,0.24886996415716595,0.5323561185837972,0.22048753777063093,8.0
www.commondreams.org,0.024053030303030305,0.0747768335736551,0.46727746212121213,0.11989969003557396,8.0
fortune.com,0.12394333964646465,0.15076667834653512,0.3807494212962963,0.1820606360962993,8.0
www.iphoneincanada.ca,0.10687229437229438,0.1794030797952212,0.46614177489177494,0.25038543450096284,8.0
www.juancole.com,-0.05112085269713946,0.15414970815369963,0.5458379421844495,0.17293385000191125,8.0
hypebeast.com,0.0800595238095238,0.27125287291241745,0.3931547619047619,0.19198614355803953,8.0
www.theatlantic.com,0.06345808531746032,0.1282103595594486,0.3502993551587301,0.1372904451467669,8.0
www.nakedcapitalism.com,0.01973536706349205,0.1977841623739415,0.42595411706349207,0.20773315582668025,8.0
subscriber.politicopro.com,0.08205717893217894,0.20884261547700828,0.38748556998557,0.2815760677071619,8.0
www.globalsecurity.org,-0.030132575757575764,0.22214453078728705,0.4151830808080808,0.18138358139146374,8.0
variety.com,0.19098349567099568,0.19819199922602673,0.4728534226190476,0.12233418759853096,8.0
energycentral.com,0.11895485466914037,0.14656453530201835,0.462987012987013,0.21463444738208015,7.0
www.counterpunch.org,-0.013209029066171923,0.09118503898918404,0.3370076272933416,0.06766610703427,7.0
www.motherjones.com,0.1264294733044733,0.19039161544701877,0.5570910636982066,0.14034636846735654,7.0
www.staradvertiser.com,0.10159013605442177,0.162159568087584,0.4329761904761905,0.33132515120362627,7.0
northern.starweekly.com.au,0.005591630591630592,0.3124363156062898,0.7212181337181337,0.28060917366947175,7.0
english.khabarhub.com,-0.06428571428571428,0.2405969757954259,0.2492857142857143,0.33222573921799287,7.0
journals.plos.org,0.053571428571428596,0.2578395409411092,0.4505952380952381,0.21726399608812022,7.0
www.newyorker.com,0.026136363636363635,0.17125499485542708,0.44067460317460316,0.22230715142954707,7.0
truthout.org,0.006963383838383834,0.13717394017320333,0.33874368686868683,0.23356725338817372,6.0
theweek.com,0.07006974506974507,0.15295533145023993,0.5060801467051467,0.253127874957794,6.0
newrepublic.com,0.1184042809042809,0.11686710340633605,0.4596572871572871,0.058743506527845296,6.0
www.livescience.com,0.020132575757575755,0.1426600315897106,0.5113483044733045,0.14115200318665674,6.0
ca.news.yahoo.com,-0.010763888888888892,0.05597024052185298,0.18229166666666666,0.18958905669016515,6.0
www.israelnationalnews.com,0.09976851851851852,0.16026109023245788,0.46537698412698414,0.0801769732108774,6.0
www.boredpanda.com,-0.09317460317460317,0.25687212011468796,0.47394179894179894,0.2998788983198258,6.0
petapixel.com,-0.11972348198538678,0.2909233913122776,0.4464052658100277,0.2100803429986421,6.0
pitchfork.com,0.14879329004329003,0.09424280448363995,0.40786255411255407,0.08393131929653908,6.0
commercialobserver.com,-0.0005621693121693102,0.2622274246988944,0.4915839947089948,0.14312348981197265,6.0
www.newsminer.com,0.07513888888888888,0.13309396917076907,0.3800277777777778,0.07392642112763703,6.0
hollywoodlife.com,-0.00246617965367966,0.11468256363196665,0.47139745670995675,0.2596582380852107,6.0
freebeacon.com,0.04070609945609944,0.11162457103969418,0.4483860583860584,0.08063338909953809,6.0
insidethemagic.net,0.08722222222222223,0.1196680756017083,0.4311706349206349,0.23183774974152813,5.0
www.fox6now.com,0.12874025974025974,0.25587198127705607,0.40152705627705626,0.12722644010616088,5.0
www.blogto.com,-0.09572562358276644,0.5247489263380601,0.5777817024245595,0.2660532527435929,5.0
bleedingcool.com,0.03376918536009445,0.09522125787461787,0.34796143250688705,0.1858408896098743,5.0
www.idahostatesman.com,0.023730158730158733,0.15991728697901658,0.39380952380952383,0.07069764915732264,5.0
www.nature.com,-0.02642857142857143,0.10550467206557443,0.16071428571428573,0.1798880037066147,5.0
nextcity.org,0.06512626262626262,0.13165468613171408,0.33056637806637806,0.05667251477864399,5.0
www.joblo.com,0.09809343434343434,0.08018942276647238,0.3527272727272727,0.1528466745060567,5.0
www.carriermanagement.com,0.034199134199134194,0.1367867566111934,0.41256854256854253,0.264819498669015,5.0
e360.yale.edu,-0.04315097402597403,0.20145891833876503,0.5320681818181818,0.20036216482790556,5.0
weather.com,0.08932539682539682,0.10645561485421241,0.5900396825396825,0.15895088819395367,5.0
www.wsbtv.com,0.17552380952380953,0.20194339253079827,0.36773015873015874,0.2543322391697096,5.0
hiphopdx.com,0.014571428571428591,0.2417419774748883,0.6002539682539683,0.26802964698026943,5.0
www.theverge.com,0.01407808241141575,0.21327471526995548,0.4705395222061889,0.1702758769322448,5.0
www.terradaily.com,0.1379848484848485,0.18196590905148408,0.3506439393939394,0.20040061532602307,5.0
www.foxweather.com,0.14430014430014432,0.18044532546617384,0.4521645021645021,0.29499051774314133,5.0
lithub.com,0.12609483726150392,0.08260099409843076,0.309861391694725,0.11434445391937267,5.0
www.propublica.org,-0.07916666666666666,0.23953803919674685,0.18444444444444447,0.22954598237540852,5.0
www.theweathernetwork.com,0.011614357864357862,0.14532218509242284,0.47084415584415584,0.02254619989300639,4.0
scienceblog.com,-0.0011489898989898613,0.3300676819237925,0.5307070707070707,0.11917182961439397,4.0
punchng.com,-0.0005790043290043248,0.1509705460506016,0.4002029220779221,0.2944841997973033,4.0
www.livemint.com,0.02083333333333333,0.13685285420371657,0.4845833333333333,0.41507111171193034,4.0
www.fastcompany.com,-0.15412202380952375,0.27971492925013514,0.43117559523809523,0.15954661332361383,4.0
www.snopes.com,-0.14333333333333337,0.3104834939252005,0.3675,0.2522546479401468,4.0
www.memeorandum.com,0.13793650793650794,0.11869407821188857,0.44571428571428573,0.10423913578921855,4.0
www.psychologytoday.com,0.02165719696969697,0.0819018953925578,0.4032075216450216,0.13845764712049682,4.0
www.futurity.org,0.1800595238095238,0.0560987835011066,0.5119047619047619,0.09432363017099966,4.0
flowingdata.com,0.04848484848484848,0.12129391179892653,0.4135606060606061,0.28708720248458564,4.0
www.cnbc.com,0.028472222222222225,0.17108908889069624,0.4111111111111111,0.10898427417045503,4.0
bleacherreport.com,0.1,0.2,0.1875,0.375,4.0
mymodernmet.com,-0.18371527777777777,0.11261570267594803,0.5001041666666666,0.14331652638865866,4.0
www.inman.com,0.19616477272727273,0.09234524270730159,0.41577380952380955,0.057393423857100716,4.0
ktla.com,0.03879193722943723,0.08156208959539521,0.39416260822510824,0.12816213236625668,4.0
